symbol,timestamp,action,prob,price,pred_direction,actual_direction,correct,position_id,event_type,direction,entry_price,close_price,position_open_time,position_close_time,position_duration_hours,allocated_capital,pnl_pct,pnl_amount,fee_paid,open_positions_count,available_capital,total_equity,peak_equity,drawdown_pct,cumulative_pnl,cumulative_closed_trades,portfolio_return_pct,regime,regime_conf
BTC/USDT,2025-12-17 18:00:00,HOLD,0.509562,85829.22,1,1,True,0,HOLD,,85829.22,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,1.0
BTC/USDT,2025-12-17 19:00:00,HOLD,0.508939,86018.53,1,0,False,0,HOLD,,86018.53,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,1.0
BTC/USDT,2025-12-17 20:00:00,HOLD,0.509895,85891.18,1,1,True,0,HOLD,,85891.18,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,1.0
BTC/USDT,2025-12-17 21:00:00,HOLD,0.512107,85982.88,1,1,True,0,HOLD,,85982.88,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,1.0
BTC/USDT,2025-12-17 22:00:00,HOLD,0.515817,86339.09,1,0,False,0,HOLD,,86339.09,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,1.0
BTC/USDT,2025-12-17 23:00:00,HOLD,0.52295,86243.22,1,0,False,0,HOLD,,86243.22,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,1.0
BTC/USDT,2025-12-18 00:00:00,HOLD,0.522255,86230.74,1,0,False,0,HOLD,,86230.74,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,1.0
BTC/USDT,2025-12-18 01:00:00,HOLD,0.520477,86119.21,1,1,True,0,HOLD,,86119.21,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,1.0
BTC/USDT,2025-12-18 02:00:00,HOLD,0.515877,86699.64,1,0,False,0,HOLD,,86699.64,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,1.0
BTC/USDT,2025-12-18 03:00:00,HOLD,0.509814,86618.34,1,1,True,0,HOLD,,86618.34,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,1.0
BTC/USDT,2025-12-18 04:00:00,HOLD,0.507024,86765.43,1,0,False,0,HOLD,,86765.43,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,1.0
BTC/USDT,2025-12-18 05:00:00,HOLD,0.50548,86440.9,1,1,True,0,HOLD,,86440.9,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,1.0
BTC/USDT,2025-12-18 06:00:00,HOLD,0.503743,86645.93,1,1,True,0,HOLD,,86645.93,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,1.0
BTC/USDT,2025-12-18 07:00:00,HOLD,0.504562,86833.84,1,1,True,0,HOLD,,86833.84,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,1.0
BTC/USDT,2025-12-18 08:00:00,HOLD,0.502898,86978.98,1,1,True,0,HOLD,,86978.98,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,1.0
