Model,Test Acc %,Trade Acc %,Overall Acc %,Return %,Sharpe,Max DD %,Win Rate %,Trades,Longs,Shorts,Holds,Initial Capital,Final Capital,Max Equity,Profit Factor,Avg Trade PnL %,Biggest Win %,Biggest Loss %,Biggest Trade $,Total Fees $,Max Win Streak,Max Loss Streak,Positions Opened,Avg Duration (h),Train Time (s)
GCN-BiLSTM,44.23,4.49,40.88,-20.43,-15.4473,-21.39,4.49,178,178,0,126,1000.0,795.72,1006.07,0.0365,-2.0476,4.7193,-5.5495,333.4,10.14,2,70,178,14.4,27.8
GCN-BiLSTM + Regime,44.23,0.0,44.37,0.0,0.0,0.0,0.0,0,0,0,311,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,27.8
LSTM,44.23,12.79,40.73,-20.62,-15.1021,-21.86,12.79,219,208,11,85,1000.0,793.82,1009.52,0.1157,-1.657,4.7193,-5.5495,257.34,12.37,7,87,219,13.6,20.5
RNN,46.79,31.39,46.64,-12.44,-14.3642,-13.33,31.39,137,108,29,158,1000.0,875.6,1008.62,0.2877,-0.8531,4.5617,-5.5495,243.12,13.17,13,34,137,7.4,11.4
XGBoost,52.88,42.94,53.13,-17.77,-14.8728,-18.99,42.94,163,132,31,139,1000.0,822.3,1010.46,0.3109,-0.719,3.2932,-5.5495,371.98,25.29,8,29,163,6.1,9.9
ARIMA,55.77,67.52,60.49,28.26,12.8996,-5.45,67.52,311,10,301,0,1000.0,1282.64,1294.9,6.0363,1.7345,7.3818,-4.5617,446.86,23.45,50,33,311,13.5,42.1
BuyAndHold,N/A,N/A,N/A,-29.22,0.0,-30.3,0.0,1,1,0,310,1000.0,707.79,1000.0,0.0,-29.22,0.0,-29.22,292.21,1.7085,0,1,1,311.0,0.0
