symbol,timestamp,trade_number,action,entry_price,exit_price,price_change_pct,prob,pred_direction,actual_direction,correct,position_size_pct,trade_capital,pnl_pct,pnl_amount,fee_paid,capital_after,peak_capital,drawdown_pct,cumulative_pnl,cumulative_trades,cumulative_win_rate_pct,portfolio_return_pct
BTC/USDT,2026-01-19 19:00:00,0,HOLD,0.002212,0.001763,-20.2836,0.505827,1,0,False,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0,0.0,0.0
BTC/USDT,2026-01-19 20:00:00,0,HOLD,0.001763,0.001425,-19.2192,0.501173,1,0,False,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0,0.0,0.0
BTC/USDT,2026-01-19 21:00:00,0,HOLD,0.001425,0.001327,-6.8192,0.501546,1,0,False,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0,0.0,0.0
BTC/USDT,2026-01-19 22:00:00,0,HOLD,0.001327,0.002011,51.5343,0.503023,1,1,True,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0,0.0,0.0
BTC/USDT,2026-01-19 23:00:00,0,HOLD,0.002011,0.001587,-21.0778,0.503369,1,0,False,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0,0.0,0.0
BTC/USDT,2026-01-20 00:00:00,0,HOLD,0.001587,0.003137,97.6415,0.505315,1,1,True,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0,0.0,0.0
BTC/USDT,2026-01-20 01:00:00,0,HOLD,0.003137,0.003667,16.8917,0.50494,1,1,True,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0,0.0,0.0
BTC/USDT,2026-01-20 02:00:00,0,HOLD,0.003667,0.003666,-0.0373,0.50407,1,0,False,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0,0.0,0.0
BTC/USDT,2026-01-20 03:00:00,0,HOLD,0.003666,0.003373,-8.0001,0.5043,1,0,False,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0,0.0,0.0
BTC/USDT,2026-01-20 04:00:00,0,HOLD,0.003373,0.007324,117.1406,0.504048,1,1,True,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0,0.0,0.0
