accuracy,loss,val_accuracy,val_loss,learning_rate
0.48631158471107483,0.7048777341842651,0.48543688654899597,0.6961914300918579,0.0010000000474974513
0.539074182510376,0.6902248859405518,0.4660194218158722,0.6967368721961975,0.0010000000474974513
0.5664509534835815,0.6812872290611267,0.5024271607398987,0.6952568888664246,0.0010000000474974513
0.5530114769935608,0.6820435523986816,0.49514561891555786,0.6965276598930359,0.0010000000474974513
0.5659531950950623,0.682120144367218,0.4805825352668762,0.6971185207366943,0.0010000000474974513
0.5679442286491394,0.6725022196769714,0.5145630836486816,0.6987209320068359,0.0010000000474974513
0.5783972144126892,0.6711874008178711,0.4902912676334381,0.6968270540237427,0.0010000000474974513
0.6072673201560974,0.6553812623023987,0.4830096960067749,0.7060660123825073,0.0010000000474974513
0.6356396079063416,0.6402491927146912,0.49514561891555786,0.719903290271759,0.0005000000237487257
0.6545544862747192,0.6246972680091858,0.49514561891555786,0.7273111939430237,0.0005000000237487257
0.6570432782173157,0.6317763924598694,0.4757281541824341,0.735662043094635,0.0005000000237487257
0.657541036605835,0.617476224899292,0.473300963640213,0.753873884677887,0.0005000000237487257
0.6804380416870117,0.6080560088157654,0.46844661235809326,0.7551622986793518,0.0005000000237487257
