symbol,timestamp,trade_number,action,entry_price,exit_price,price_change_pct,prob,pred_direction,actual_direction,correct,position_size_pct,trade_capital,pnl_pct,pnl_amount,fee_paid,capital_after,peak_capital,drawdown_pct,cumulative_pnl,cumulative_trades,cumulative_win_rate_pct,portfolio_return_pct
BTC/USDT,2026-02-01 12:00:00,306,SHORT,0.078094,0.059714,-23.5355,0.0,0,0,True,25.0,0.38,23.4355,0.09,0.0004,1.63,1119.16,-99.85,-998.37,306,49.67,-99.84
BTC/USDT,2026-02-01 13:00:00,307,SHORT,0.059714,0.053337,-10.6786,0.0,0,0,True,25.0,0.41,10.5786,0.04,0.0004,1.67,1119.16,-99.85,-998.33,307,49.84,-99.83
BTC/USDT,2026-02-01 14:00:00,308,SHORT,0.053337,0.083383,56.3306,0.0,0,1,False,25.0,0.42,-56.4306,-0.24,0.0004,1.43,1119.16,-99.87,-998.57,308,49.68,-99.86
BTC/USDT,2026-02-01 15:00:00,309,SHORT,0.083383,0.164575,97.3731,0.0,0,1,False,25.0,0.36,-97.4731,-0.35,0.0004,1.08,1119.16,-99.9,-998.92,309,49.51,-99.89
BTC/USDT,2026-02-01 16:00:00,310,SHORT,0.164575,0.146166,-11.1856,0.0,0,0,True,25.0,0.27,11.0856,0.03,0.0003,1.11,1119.16,-99.9,-998.89,310,49.68,-99.89
BTC/USDT,2026-02-01 17:00:00,311,SHORT,0.146166,0.084529,-42.1691,0.0,0,0,True,25.0,0.28,42.0691,0.12,0.0003,1.23,1119.16,-99.89,-998.77,311,49.84,-99.88
BTC/USDT,2026-02-01 18:00:00,312,SHORT,0.084529,0.117492,38.9964,0.0,0,1,False,25.0,0.31,-39.0964,-0.12,0.0003,1.11,1119.16,-99.9,-998.89,312,49.68,-99.89
BTC/USDT,2026-02-01 19:00:00,313,SHORT,0.117492,0.118178,0.5838,0.0,0,1,False,25.0,0.28,-0.6838,-0.0,0.0003,1.11,1119.16,-99.9,-998.89,313,49.52,-99.89
BTC/USDT,2026-02-01 20:00:00,314,SHORT,0.118178,0.126266,6.8433,0.0,0,1,False,25.0,0.28,-6.9433,-0.02,0.0003,1.09,1119.16,-99.9,-998.91,314,49.36,-99.89
BTC/USDT,2026-02-01 21:00:00,315,SHORT,0.126266,0.143546,13.6854,0.0,0,1,False,25.0,0.27,-13.7854,-0.04,0.0003,1.05,1119.16,-99.91,-998.95,315,49.21,-99.89
BTC/USDT,2026-02-01 22:00:00,316,SHORT,0.143546,0.114236,-20.418,0.0,0,0,True,25.0,0.26,20.318,0.05,0.0003,1.11,1119.16,-99.9,-998.89,316,49.37,-99.89
BTC/USDT,2026-02-01 23:00:00,317,SHORT,0.114236,0.046063,-59.6773,0.0,0,0,True,25.0,0.28,59.5773,0.16,0.0003,1.27,1119.16,-99.89,-998.73,317,49.53,-99.87
BTC/USDT,2026-02-02 00:00:00,318,SHORT,0.046063,0.095477,107.2737,0.0,0,1,False,25.0,0.32,-107.3737,-0.34,0.0003,0.93,1119.16,-99.92,-999.07,318,49.37,-99.91
BTC/USDT,2026-02-02 01:00:00,319,SHORT,0.095477,0.088811,-6.9822,0.0,0,0,True,25.0,0.23,6.8822,0.02,0.0002,0.95,1119.16,-99.92,-999.05,319,49.53,-99.91
BTC/USDT,2026-02-02 02:00:00,320,SHORT,0.088811,0.077824,-12.3706,0.0,0,0,True,25.0,0.24,12.2706,0.03,0.0002,0.97,1119.16,-99.91,-999.03,320,49.69,-99.9
BTC/USDT,2026-02-02 03:00:00,321,SHORT,0.077824,0.089354,14.8146,0.0,0,1,False,25.0,0.24,-14.9146,-0.04,0.0002,0.94,1119.16,-99.92,-999.06,321,49.53,-99.91
BTC/USDT,2026-02-02 04:00:00,322,SHORT,0.089354,0.111811,25.1331,0.0,0,1,False,25.0,0.23,-25.2331,-0.06,0.0002,0.88,1119.16,-99.92,-999.12,322,49.38,-99.91
