accuracy,loss,val_accuracy,val_loss,learning_rate
0.4995102882385254,0.7019296288490295,0.47380951046943665,0.6964521408081055,0.0010000000474974513
0.5411361455917358,0.6883872747421265,0.4690476059913635,0.6953132152557373,0.0010000000474974513
0.5421155691146851,0.6855310797691345,0.4833333194255829,0.6950749158859253,0.0010000000474974513
0.5714985132217407,0.676724374294281,0.5095238089561462,0.6920472383499146,0.0010000000474974513
0.5881488919258118,0.6660434007644653,0.5309523940086365,0.6951744556427002,0.0010000000474974513
0.6057786345481873,0.6607598662376404,0.5142857432365417,0.7027349472045898,0.0010000000474974513
0.5832517147064209,0.6691203117370605,0.5166666507720947,0.7015699744224548,0.0010000000474974513
0.612144947052002,0.6532796621322632,0.5285714268684387,0.722234308719635,0.0010000000474974513
0.6111655235290527,0.6570963859558105,0.47380951046943665,0.7304149270057678,0.0010000000474974513
0.6351615786552429,0.6403717994689941,0.523809552192688,0.7289038300514221,0.0005000000237487257
0.6596474051475525,0.6166192889213562,0.5142857432365417,0.7429022789001465,0.0005000000237487257
0.6714006066322327,0.618148148059845,0.5166666507720947,0.7559296488761902,0.0005000000237487257
0.6758080124855042,0.6016050577163696,0.49761903285980225,0.7790766954421997,0.0005000000237487257
0.6831537485122681,0.5977563261985779,0.48571428656578064,0.7961359024047852,0.0005000000237487257
