Model,Test Acc %,Trade Acc %,Overall Acc %,Return %,Sharpe,Max DD %,Win Rate %,Trades,Longs,Shorts,Holds,Initial Capital,Final Capital,Max Equity,Profit Factor,Avg Trade PnL %,Biggest Win %,Biggest Loss %,Biggest Trade $,Total Fees $,Max Win Streak,Max Loss Streak,Positions Opened,Avg Duration (h),Train Time (s)
GCN-BiLSTM,49.45,51.2,51.48,-0.84,-0.0185,-12.51,51.2,502,248,254,866,1000.0,991.58,1126.36,1.2639,0.271,8.5876,-6.2612,142.53,20.08,44,62,502,34.1,116.7
GCN-BiLSTM + Regime,49.45,30.56,46.85,1.16,0.5258,-6.98,30.56,108,38,70,1260,1000.0,1011.62,1030.39,1.4385,0.8562,12.1084,-8.9781,35.81,1.39,31,50,108,263.2,116.7
LSTM,50.69,80.63,46.17,15.6,2.3336,-10.52,80.63,191,185,6,1177,1000.0,1156.01,1167.04,6.3866,3.5881,13.3489,-7.6382,75.83,2.24,102,34,191,460.4,52.4
RNN,53.25,60.81,52.4,-9.08,-2.3999,-11.86,60.81,467,283,184,901,1000.0,909.2,1008.17,0.8049,-0.1635,5.639,-7.6417,178.63,26.78,31,30,467,18.7,25.8
XGBoost,52.08,60.54,50.29,-4.69,-0.9526,-13.39,60.54,560,360,200,808,1000.0,953.05,1085.01,1.2138,0.1347,5.6655,-7.466,309.41,56.85,31,27,560,11.9,18.3
ARIMA,49.31,50.73,44.97,-30.78,-6.1282,-34.5,50.73,1368,909,459,0,1000.0,692.23,1018.54,1.0985,0.0493,6.2896,-7.1502,404.73,156.52,60,51,1368,20.1,1121.2
BuyAndHold,N/A,N/A,N/A,9.96,0.0,-13.21,100.0,1,1,0,1367,1000.0,1099.61,1099.61,0.0,9.96,9.96,0.0,99.61,2.1007,1,0,1,1368.0,0.0
