Model,Test Acc %,Trade Acc %,Overall Acc %,Return %,Sharpe,Max DD %,Win Rate %,Trades,Longs,Shorts,Holds,Initial Capital,Final Capital,Max Equity,Profit Factor,Avg Trade PnL %,Biggest Win %,Biggest Loss %,Biggest Trade $,Total Fees $,Max Win Streak,Max Loss Streak,Positions Opened,Avg Duration (h),Train Time (s)
GCN-BiLSTM,49.42,44.98,49.3,-0.62,-0.2727,-4.09,44.98,836,547,289,1908,1000.0,993.85,1006.32,1.1141,0.0894,10.2624,-5.5495,64.96,15.34,37,57,836,13.9,273.0
GCN-BiLSTM + Regime,49.42,65.22,49.17,0.02,0.4297,-0.07,65.22,23,8,15,2838,1000.0,1000.2,1000.2,2.5777,0.4602,1.827,-1.1057,14.12,0.19,10,5,23,8.0,273.0
LSTM,51.52,35.81,53.07,-19.18,-3.8235,-22.13,35.81,944,446,498,1790,1000.0,808.18,1020.8,0.7326,-0.2345,7.2065,-5.5495,138.11,44.33,29,34,944,13.4,108.0
RNN,51.93,49.18,52.59,-28.62,-6.4477,-31.18,49.18,1336,893,443,1442,1000.0,713.84,1016.33,0.7339,-0.1652,4.579,-5.5495,241.34,84.94,23,38,1336,8.9,40.0
XGBoost,51.2,56.3,52.52,-16.36,-2.6779,-20.04,56.3,1396,899,497,1394,1000.0,836.38,1004.29,1.2118,0.0871,9.4607,-4.7547,303.04,145.06,20,24,1396,6.4,26.0
ARIMA,50.44,43.55,50.78,-27.82,-2.129,-30.21,43.55,2868,97,2771,0,1000.0,721.8,1034.21,1.307,0.2027,7.3818,-7.8605,400.0,168.98,70,98,2868,15.1,1434.4
BuyAndHold,N/A,N/A,N/A,-12.78,0.0,-35.59,0.0,1,1,0,2867,1000.0,872.23,1000.0,0.0,-12.78,0.0,-12.78,127.77,1.8731,0,1,1,2868.0,0.0
