Model,Test Acc %,Trade Acc %,Overall Acc %,Return %,Sharpe,Max DD %,Win Rate %,Trades,Longs,Shorts,Holds,Initial Capital,Final Capital,Max Equity,Profit Factor,Avg Trade PnL %,Biggest Win %,Biggest Loss %,Biggest Trade $,Total Fees $,Max Win Streak,Max Loss Streak,Positions Opened,Avg Duration (h),Train Time (s)
GCN-BiLSTM,43.91,1.94,31.29,-24.81,-14.8228,-26.22,1.94,155,151,4,156,1000.0,751.94,1011.81,0.0013,-7.1521,0.953,-13.7334,91.77,2.47,1,129,155,56.8,48.3
GCN-BiLSTM + Regime,43.91,0.0,44.05,0.0,0.0,0.0,0.0,0,0,0,311,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,48.3
LSTM,43.27,13.3,36.89,-27.73,-14.9873,-28.84,13.3,218,210,8,93,1000.0,722.74,1007.04,0.0073,-16.1276,2.1411,-29.6357,49.95,1.73,28,163,218,99.7,20.7
RNN,45.51,21.46,45.65,-27.14,-14.6463,-27.76,21.46,233,218,15,78,1000.0,728.56,1000.0,0.0204,-9.1966,2.3917,-24.2006,249.51,6.18,18,127,233,47.8,12.5
XGBoost,48.08,40.72,45.18,-26.46,-15.3383,-27.08,40.72,167,143,24,144,1000.0,735.37,1000.0,0.1684,-1.6674,3.2932,-16.7659,388.79,14.53,12,21,167,16.9,10.5
ARIMA,46.79,46.95,47.02,-23.86,-29.8932,-23.86,46.95,311,155,156,0,1000.0,761.38,1000.0,0.9231,-0.0183,2.4554,-3.0946,400.0,109.09,7,9,311,1.0,144.5
BuyAndHold,N/A,N/A,N/A,-29.22,0.0,-30.3,0.0,1,1,0,310,1000.0,707.79,1000.0,0.0,-29.22,0.0,-29.22,292.21,1.7085,0,1,1,311.0,0.0
