accuracy,loss,val_accuracy,val_loss,learning_rate
0.508582353591919,0.6996858716011047,0.49843260645866394,0.6948108077049255,0.0010000000474974513
0.5403687357902527,0.6874146461486816,0.5235109925270081,0.6920163631439209,0.0010000000474974513
0.5657978653907776,0.6818593144416809,0.5266457796096802,0.6928361654281616,0.0010000000474974513
0.5721551179885864,0.6787576675415039,0.5141065716743469,0.6936431527137756,0.0010000000474974513
0.5772409439086914,0.6741531491279602,0.5235109925270081,0.6937193870544434,0.0010000000474974513
0.5899555087089539,0.6675243377685547,0.5642633438110352,0.6896514296531677,0.0010000000474974513
0.5791481137275696,0.674624502658844,0.5266457796096802,0.701100766658783,0.0010000000474974513
0.6052129864692688,0.6595315337181091,0.5423197746276855,0.6891346573829651,0.0010000000474974513
0.6223776340484619,0.6556158065795898,0.5642633438110352,0.6932947635650635,0.0010000000474974513
0.6160203218460083,0.6547874212265015,0.5423197746276855,0.6983198523521423,0.0010000000474974513
0.6331849694252014,0.6435340642929077,0.5235109925270081,0.6954948902130127,0.0010000000474974513
0.6293706297874451,0.6535260677337646,0.5360501408576965,0.7242921590805054,0.0010000000474974513
0.6420851945877075,0.6426830291748047,0.5391849279403687,0.7078083753585815,0.0010000000474974513
0.6401780247688293,0.6339632868766785,0.5485893487930298,0.7136493921279907,0.0005000000237487257
0.659885585308075,0.6172537207603455,0.5517241358757019,0.7212101817131042,0.0005000000237487257
0.6700572371482849,0.6048745512962341,0.5391849279403687,0.721929132938385,0.0005000000237487257
0.6605212688446045,0.6100365519523621,0.5517241358757019,0.7235329151153564,0.0005000000237487257
0.6656070947647095,0.6099571585655212,0.5736677050590515,0.7226138114929199,0.0005000000237487257
