timestamp,entry_price,exit_price,prob,action,pred_direction,actual_direction,correct,pnl_pct,capital,drawdown_pct,regime,regime_conf,tsmom_sign,z_score,position_frac_used
2026-04-01 12:00:00,0.0868602581495055,0.07853224704743282,0.6000828,HOLD,1,0,False,0.0,1000.0,0.0,MEAN_REVERTING,0.8541,-1.0,1.3944,0.0
2026-04-01 13:00:00,0.07853224704743282,0.14341326520273234,0.5986355,HOLD,1,1,True,0.0,1000.0,0.0,MEAN_REVERTING,0.8435,-1.0,1.1009,0.0
2026-04-01 14:00:00,0.14341326520273234,0.2463824872741967,0.5916331,HOLD,1,1,True,0.0,1000.0,0.0,MEAN_REVERTING,0.9022,-1.0,2.7304,0.0
2026-04-01 15:00:00,0.2463824872741967,0.40854400470925256,0.5910971,HOLD,1,1,True,0.0,1000.0,0.0,MEAN_REVERTING,0.9555,-1.0,4.2768,0.0
2026-04-01 16:00:00,0.40854400470925256,0.4459240137275143,0.5758978,HOLD,1,1,True,0.0,1000.0,0.0,MEAN_REVERTING,0.9471,-1.0,5.0905,0.0
2026-04-01 17:00:00,0.4459240137275143,0.37620519085466847,0.55209124,HOLD,1,0,False,0.0,1000.0,0.0,MEAN_REVERTING,0.926,-1.0,4.2906,0.0
2026-04-01 18:00:00,0.37620519085466847,0.4753990361527938,0.5283603,HOLD,1,1,True,0.0,1000.0,0.0,TRENDING,0.9022,-1.0,3.0633,0.0
2026-04-01 19:00:00,0.4753990361527938,0.4394522783835879,0.51649797,HOLD,1,0,False,0.0,1000.0,0.0,TRENDING,0.8814,-1.0,3.4427,0.0
2026-04-01 20:00:00,0.4394522783835879,0.5584234965556322,0.510195,HOLD,1,1,True,0.0,1000.0,0.0,TRENDING,0.8913,-1.0,2.7917,0.0
2026-04-01 21:00:00,0.5584234965556322,0.47131921594460086,0.5026884,HOLD,1,0,False,0.0,1000.0,0.0,TRENDING,0.898,-1.0,3.2353,0.0
2026-04-01 22:00:00,0.47131921594460086,0.5192565661702816,0.5009527,HOLD,1,1,True,0.0,1000.0,0.0,TRENDING,0.8632,-1.0,2.3937,0.0
2026-04-01 23:00:00,0.5192565661702816,0.710385324782084,0.49254936,HOLD,0,1,False,0.0,1000.0,0.0,TRENDING,0.8353,-1.0,2.4765,0.0
2026-04-02 00:00:00,0.710385324782084,0.658856135674824,0.49087176,HOLD,0,0,True,0.0,1000.0,0.0,TRENDING,0.8384,-1.0,3.1869,0.0
2026-04-02 01:00:00,0.658856135674824,0.6096907286284389,0.49303877,HOLD,0,0,True,0.0,1000.0,0.0,TRENDING,0.8297,-1.0,2.62,0.0
2026-04-02 02:00:00,0.6096907286284389,0.3934107206096775,0.4935187,HOLD,0,0,True,0.0,1000.0,0.0,TRENDING,0.8368,-1.0,2.1901,0.0
2026-04-02 03:00:00,0.3934107206096775,0.30045722964256516,0.4888103,HOLD,0,0,True,0.0,1000.0,0.0,TRENDING,0.8178,-1.0,1.0746,0.0
