Model,Test Acc %,Trade Acc %,Overall Acc %,Return %,Sharpe,Max DD %,Win Rate %,Trades,Longs,Shorts,Holds,Initial Capital,Final Capital,Max Equity,Profit Factor,Avg Trade PnL %,Biggest Win %,Biggest Loss %,Biggest Trade $,Total Fees $,Max Win Streak,Max Loss Streak,Positions Opened,Avg Duration (h),Train Time (s)
Hybrid (GCN-BiLSTM),48.18,0.4,48.06,-100.0,6.7443,-750897.75,0.4,253,0,253,159,1000.0,0.0,1881.88,0.0,-993647.5503,8.8778,-11089372.715,250.0,12874.6,1,252,253,212.2,22.1
LSTM,51.57,50.0,47.22,-98.57,3.5452,-2504.74,50.0,76,37,39,336,1000.0,14.26,2624778.94,5.1514,14620.5418,112732.5772,-22780.5531,118512.58,57906.06,37,38,76,150.4,11.5
RNN,51.33,47.17,51.18,-99.78,-4.871,-1909.43,47.17,159,44,115,253,1000.0,2.18,1016.78,0.0614,-453.7576,268.8963,-12902.3683,250.0,27.04,23,17,159,12.8,7.0
XGBoost,50.61,55.62,48.15,-69.49,-3.1784,-189.14,55.62,160,82,78,252,1000.0,305.05,80192.32,0.4877,-41.4059,427.0353,-3494.6893,17838.65,729.22,10,18,160,7.6,10.9
ARIMA,47.46,0.24,47.33,-100.0,-2.453,-4113965.39,0.24,412,0,412,0,1000.0,0.0,1493.22,0.0,-988017.6932,8.8778,-11089372.715,250.0,55975.34,1,411,412,205.5,123.6
BuyAndHold,52.54,0.0,52.67,0.0,0.0,0.0,0.0,0,0,0,412,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
