symbol,timestamp,action,prob,price,pred_direction,actual_direction,correct,position_id,event_type,direction,entry_price,close_price,position_open_time,position_close_time,position_duration_hours,allocated_capital,pnl_pct,pnl_amount,fee_paid,open_positions_count,available_capital,total_equity,peak_equity,drawdown_pct,cumulative_pnl,cumulative_closed_trades,portfolio_return_pct,regime,regime_conf
BTC/USDT,2025-12-17 18:00:00,LONG,1.0,85829.22,1.0,1.0,True,1,OPEN,LONG,85829.22,,2025-12-17 18:00:00,,,400.0,0.0,0.0,0.0,1,600.0,999.6,1000.0,-0.04,0.0,0,-0.04,HIGH_VOL,
BTC/USDT,2025-12-17 19:00:00,LONG,1.0,86018.53,1.0,0.0,False,2,OPEN,LONG,86018.53,,2025-12-17 19:00:00,,,240.0,0.0,0.0,0.0,2,360.0,1000.24,1000.24,0.0,0.0,0,0.02,HIGH_VOL,
BTC/USDT,2025-12-17 20:00:00,LONG,1.0,85891.18,1.0,1.0,True,3,OPEN,LONG,85891.18,,2025-12-17 20:00:00,,,144.0,0.0,0.0,0.0,3,216.0,999.15,1000.24,-0.11,0.0,0,-0.09,HIGH_VOL,
BTC/USDT,2025-12-17 21:00:00,SHORT,0.0,85982.88,0.0,1.0,False,1,CLOSE,LONG,85829.22,85982.88,2025-12-17 18:00:00,2025-12-17 21:00:00,3.0,400.0,0.179,-0.08,0.4003,1,599.52,998.8,1000.24,-0.14,-0.08,1,-0.12,HIGH_VOL,
BTC/USDT,2025-12-17 21:00:00,SHORT,0.0,85982.88,0.0,1.0,False,2,CLOSE,LONG,86018.53,85982.88,2025-12-17 19:00:00,2025-12-17 21:00:00,2.0,240.0,-0.0414,-0.58,0.2397,1,599.52,998.8,1000.24,-0.14,-0.66,2,-0.12,HIGH_VOL,
BTC/USDT,2025-12-17 21:00:00,SHORT,0.0,85982.88,0.0,1.0,False,3,CLOSE,LONG,85891.18,85982.88,2025-12-17 20:00:00,2025-12-17 21:00:00,1.0,144.0,0.1068,-0.13,0.144,1,599.52,998.8,1000.24,-0.14,-0.8,3,-0.12,HIGH_VOL,
BTC/USDT,2025-12-17 21:00:00,SHORT,0.0,85982.88,0.0,1.0,False,4,OPEN,SHORT,85982.88,,2025-12-17 21:00:00,,,399.68,0.0,0.0,0.0,1,599.52,998.8,1000.24,-0.14,-0.8,3,-0.12,HIGH_VOL,
BTC/USDT,2025-12-17 22:00:00,SHORT,0.0,86339.09,0.0,0.0,True,5,OPEN,SHORT,86339.09,,2025-12-17 22:00:00,,,239.81,0.0,0.0,0.0,2,359.71,996.91,1000.24,-0.33,-0.8,3,-0.31,HIGH_VOL,
BTC/USDT,2025-12-17 23:00:00,SHORT,0.0,86243.22,0.0,0.0,True,6,OPEN,SHORT,86243.22,,2025-12-17 23:00:00,,,143.89,0.0,0.0,0.0,3,215.83,997.48,1000.24,-0.28,-0.8,3,-0.25,HIGH_VOL,
BTC/USDT,2025-12-18 00:00:00,SHORT,0.0,86230.74,0.0,0.0,True,7,OPEN,SHORT,86230.74,,2025-12-18 00:00:00,,,86.33,0.0,0.0,0.0,4,129.5,997.5,1000.24,-0.27,-0.8,3,-0.25,HIGH_VOL,
BTC/USDT,2025-12-18 01:00:00,LONG,1.0,86119.21,1.0,1.0,True,4,CLOSE,SHORT,85982.88,86119.21,2025-12-17 21:00:00,2025-12-18 01:00:00,4.0,399.68,-0.1586,-1.43,0.3986,1,598.65,997.36,1000.24,-0.29,-2.23,4,-0.26,HIGH_VOL,
BTC/USDT,2025-12-18 01:00:00,LONG,1.0,86119.21,1.0,1.0,True,5,CLOSE,SHORT,86339.09,86119.21,2025-12-17 22:00:00,2025-12-18 01:00:00,3.0,239.81,0.2547,0.13,0.2402,1,598.65,997.36,1000.24,-0.29,-2.1,5,-0.26,HIGH_VOL,
BTC/USDT,2025-12-18 01:00:00,LONG,1.0,86119.21,1.0,1.0,True,6,CLOSE,SHORT,86243.22,86119.21,2025-12-17 23:00:00,2025-12-18 01:00:00,2.0,143.89,0.1438,-0.08,0.1439,1,598.65,997.36,1000.24,-0.29,-2.18,6,-0.26,HIGH_VOL,
