Model,Test Acc %,Trade Acc %,Overall Acc %,Return %,Sharpe,Max DD %,Win Rate %,Trades,Longs,Shorts,Holds,Initial Capital,Final Capital,Max Equity,Profit Factor,Avg Trade PnL %,Biggest Win %,Biggest Loss %,Biggest Trade $,Total Fees $,Max Win Streak,Max Loss Streak,Positions Opened,Avg Duration (h),Train Time (s)
GCN-BiLSTM,51.72,49.91,55.33,3.8,1.0715,-6.62,49.91,571,487,84,713,1000.0,1037.97,1080.18,1.5792,0.319,5.639,-4.1617,205.84,44.25,42,36,571,14.2,145.3
GCN-BiLSTM + Regime,51.72,36.52,51.87,-3.11,-4.0617,-5.18,36.52,178,156,22,1144,1000.0,968.86,1012.72,0.8299,-0.1262,4.7643,-3.9233,73.08,6.26,12,38,178,14.2,145.3
LSTM,51.21,46.76,52.62,-0.14,-0.1014,-3.35,46.76,293,131,162,1010,1000.0,998.57,1021.15,1.0222,0.0146,3.9171,-4.0216,86.97,9.0,23,40,293,12.9,55.2
RNN,50.84,51.0,51.82,-8.91,-3.3458,-11.03,51.0,551,87,464,763,1000.0,910.94,1006.27,1.0075,0.0049,3.532,-4.4021,154.22,32.95,20,34,551,12.0,25.5
XGBoost,49.23,54.13,49.43,-10.58,-3.1376,-14.36,54.13,606,379,227,705,1000.0,894.25,1026.61,1.3161,0.1428,5.639,-3.9233,332.76,69.14,21,14,606,7.1,25.6
ARIMA,49.09,41.59,48.81,-23.54,-3.8215,-23.89,41.59,1368,7,1361,0,1000.0,764.55,1004.55,1.1617,0.1126,5.4032,-4.3907,400.0,77.31,56,63,1368,14.5,368.6
BuyAndHold,N/A,N/A,N/A,10.34,0.0,-13.21,100.0,1,1,0,1367,1000.0,1103.35,1103.35,0.0,10.34,10.34,0.0,103.35,2.1045,1,0,1,1368.0,0.0
