Model,Test Acc %,Trade Acc %,Overall Acc %,Return %,Sharpe,Max DD %,Win Rate %,Trades,Longs,Shorts,Holds,Initial Capital,Final Capital,Max Equity,Profit Factor,Avg Trade PnL %,Biggest Win %,Biggest Loss %,Biggest Trade $,Total Fees $,Max Win Streak,Max Loss Streak,Positions Opened,Avg Duration (h),Train Time (s)
GCN-BiLSTM,44.55,29.3,44.49,-6.29,-8.1711,-7.54,29.3,157,131,26,140,1000.0,937.11,1013.51,0.5192,-0.6088,5.0989,-5.2429,82.57,6.0,24,50,157,14.5,33.9
GCN-BiLSTM + Regime,44.55,75.0,44.27,-0.0,-1.0011,-0.02,75.0,4,4,0,306,1000.0,999.95,1000.15,6.1573,0.1189,0.3526,-0.0922,15.53,0.06,3,1,4,3.5,33.9
LSTM,46.47,28.57,44.9,-2.95,-7.0214,-3.98,28.57,119,100,19,174,1000.0,970.46,1010.67,0.6066,-0.3837,4.1415,-3.3042,66.42,3.97,17,52,119,14.8,11.0
RNN,49.68,29.25,46.59,-12.76,-13.3651,-13.69,29.25,147,122,25,151,1000.0,872.36,1006.58,0.2204,-1.0308,4.7193,-5.5495,195.57,12.57,13,37,147,10.4,6.3
XGBoost,52.88,43.48,53.15,-17.73,-14.8634,-18.98,43.48,161,130,31,141,1000.0,822.73,1010.96,0.3156,-0.7123,3.2932,-5.5495,372.18,25.23,8,28,161,6.1,7.7
ARIMA,55.77,67.52,60.49,28.26,12.8996,-5.45,67.52,311,10,301,0,1000.0,1282.64,1294.9,6.0363,1.7345,7.3818,-4.5617,446.86,23.45,50,33,311,13.5,33.0
BuyAndHold,N/A,N/A,N/A,-29.22,0.0,-30.3,0.0,1,1,0,310,1000.0,707.79,1000.0,0.0,-29.22,0.0,-29.22,292.21,1.7085,0,1,1,311.0,0.0
