Model,Test Acc %,Trade Acc %,Overall Acc %,Return %,Sharpe,Max DD %,Win Rate %,Trades,Longs,Shorts,Holds,Initial Capital,Final Capital,Max Equity,Profit Factor,Avg Trade PnL %,Biggest Win %,Biggest Loss %,Biggest Trade $,Total Fees $,Max Win Streak,Max Loss Streak,Positions Opened,Avg Duration (h),Train Time (s)
GCN-BiLSTM,55.13,100.0,55.31,147.4,9.5908,-27.97,100.0,65,65,0,246,1000.0,2474.0,2508.65,85287530000000.0,131.2116,180.9708,43.2673,250.0,2.48,65,0,65,96.3,15.9
GCN-BiLSTM + Regime,55.13,0.0,55.31,0.0,0.0,0.0,0.0,0,0,0,311,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,15.9
LSTM,53.85,10.09,40.68,-67.73,-2.7245,-89.01,10.09,109,90,19,202,1000.0,322.75,2087.73,0.0694,-32.0387,48.801,-101.7165,294.17,1.72,7,79,109,114.2,10.0
RNN,52.56,53.28,49.41,20.74,3.425,-27.02,53.28,122,53,69,189,1000.0,1207.37,1622.56,1.3867,1.4067,32.4447,-58.1531,405.74,19.64,9,12,122,9.7,10.3
XGBoost,49.68,56.56,49.53,11.17,2.4502,-48.65,56.56,122,59,63,189,1000.0,1111.65,2129.96,1.4645,1.785,31.5842,-43.4294,502.58,30.74,17,7,122,8.6,11.0
ARIMA,50.64,46.62,58.9,-43.71,-4.2717,-55.37,46.62,311,92,219,0,1000.0,562.94,1250.15,0.4335,-2.7382,16.1,-41.7749,279.48,41.27,14,38,311,6.7,175.7
BuyAndHold,N/A,N/A,N/A,280.29,0.0,-49.36,100.0,1,1,0,310,1000.0,3802.87,3802.87,0.0,280.29,280.29,0.0,2802.87,4.8067,1,0,1,311.0,0.0
