accuracy,loss,val_accuracy,val_loss,learning_rate
0.49576905369758606,0.7066951394081116,0.5364077687263489,0.6928109526634216,0.0010000000474974513
0.5296167135238647,0.6906605362892151,0.47815534472465515,0.6939713358879089,0.0010000000474974513
0.5470383167266846,0.6889483332633972,0.47815534472465515,0.6946956515312195,0.0010000000474974513
0.5475360751152039,0.6875972151756287,0.4757281541824341,0.6972806453704834,0.0010000000474974513
0.5500248670578003,0.6825914978981018,0.4635922312736511,0.6997928619384766,0.0010000000474974513
0.568939745426178,0.6782867908477783,0.47087377309799194,0.7047412395477295,0.0010000000474974513
0.5853658318519592,0.6726440787315369,0.4757281541824341,0.7057034373283386,0.0005000000237487257
0.5928322672843933,0.6646884679794312,0.4805825352668762,0.7109530568122864,0.0005000000237487257
0.5948233008384705,0.6603221893310547,0.4805825352668762,0.7150413990020752,0.0005000000237487257
0.6147336959838867,0.6531442403793335,0.4757281541824341,0.7237002849578857,0.0005000000237487257
0.6012941598892212,0.6554173827171326,0.4902912676334381,0.7202388644218445,0.0005000000237487257
